"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
11,"German","Sucheinstieg","Ein Name, Begriff, Code etc., unter dem bibliografische Daten oder Normdaten gesucht und identifiziert werden können.",,"Abweichende Namensform [UB], Ansetzungsform des Sucheinstiegs [UB], Name [VB], Nicht normierter Sucheinstieg [UB], Normierter Sucheinstieg [UB], Notwendiger Sucheinstieg [UB], Zusätzlicher Sucheinstieg [UB]","GARR, modifiziert durch FRAD und IME ICC",20090812
12,"Italian","Punto di accesso","Nome, termine, codice, ecc. mediante il quale il dato bibliografico o di autorità è ricercato e identificato.",,"Punto di accesso aggiuntivo [NT] Punto di accesso autorizzato [NT], Punto di accesso controllato [NT], Punto di accesso indispensabile [NT], Nome [RT], Punto di accesso non controllato [NT], Forma variante del nome [NT]","GAAR modificata con FRAD e IME ICC",20090812
13,"Japanese","アクセスポイント","それにより書誌データまたは典拠データを検索し、識別する名称、用語、コード等。　　",,"中核的アクセスポイント［NT］、典拠形アクセスポイント［NT］、統制形アクセスポイント［NT］、非統制形アクセスポイント［NT］、付加的アクセスポイント［NT］、名称［RT］、名称の異なる形［NT］　をも見よ。","FRADおよびIME ICCに従って修正したGARR",20090805
14,"Korean","접근점","서지데이터나 전거데이터를 탐색하고 식별하기 위한 이름이나 용어, 부호 등",,"부접근점 (Additional access point) [NT], 전거형 접근점 (Authorized access point) [NT], 제어형 접근점 (Controlled access point) [NT], 필수 접근점 (Essential access point) [NT], 이름 (Name) [RT], 비제어형 접근점 (Uncontrolled access point) [NT], 이형의 이름 (Variant form of name) [NT]","GARR, FRAD와 IME ICC의 것을 각각 수정",20090805
15,"Latvian","Piekļuves punkts","personvārds/nosaukums, apzīmējums, kods u.tml., pēc kura iespējams sameklēt un identificēt bibliogrāfiskos vai autoritatīvos datus.",,"Papildu piekļuves punkts [ŠT], Autorizētais piekļuves punkts [ŠT], Kontrolētais piekļuves punkts [ŠT], Svarīgākais piekļuves punkts [ŠT], Personvārds/nosaukums [ST], Nekontrolētais piekļuves punkts [ŠT], Personvārda/nosaukuma atšķirīgā forma [ŠT]","GARR, modificēts atbilstoši FRAD un IME ICC",20090813
16,"Lithuanian","Kreipties elementas","vardas, terminas, kodas ir t. t., pagal kurį ieškomi ir
identifikuojami bibliografiniai arba autoritetiniai duomenys.",,"Aprobuotas kreipties elementas [ST], Esminis kreipties elementas [ST],
Kontroliuojamas kreipties elementas [ST], Nekontroliuojamas kreipties
elementas [ST], Papildomas kreipties elementas [ST], Vardas [SJT], Vardo
formos variantas [ST]","GARR, pakeitimas FRAD ir IME ICC",20100809
17,"Polish","Punkt dostępu","nazwa, termin, kod itd., za pomocą którego można
wyszukiwać i identyfikować dane bibliograficzne lub wzorcowe.",,"Dodatkowy punkt dostępu [TW], Ujednolicony punkt dostępu [TW],
Kontrolowany punkt dostępu [TW], Podstawowy punkt dostępu [TW], Nazwa
[TZ], Niekontrolowany punkt dostępu [TW], Wariant formy nazwy [TW]","GARR
zmodyfikowane przez FRAD i IME ICC",20100809
18,"Portuguese","Ponto de acesso","Nome, termo, código, etc., pelo qual se pesquisa e identifica um registo bibliográfico, de autoridade ou referência.",,"Nome [TR], Ponto de acesso adicional [TE] Ponto de acesso autorizado [TE], Ponto de acesso controlado [TE], Ponto de acesso essencial [TE], Ponto de acesso não ontrolado [TE], Ponto de acesso para forma variante [TE]","GARR, com as alterações de FRAD, e IME ICC",20090812
19,"Russian","Точка доступа","имя (наименование), термин, код и т.п., с помощью которого могут быть найдены  и идентифицированы библиографические или авторитетные данные.",,"Авторитетная точка доступа [БУТ], Вариантная форма имени [БУТ],  Дополнительная точка доступа [БУТ], Имя (наименование) [СТ], Контролируемая точка доступа [БУТ], Неконтролируемая точка доступа [БУТ],  Обязательная точка доступа [БУТ] ","GARR модифицированный  через FRAD  и IME ICC",20090805
20,"Slovak","Selekčný údaj","meno, termín, kód atď., prostredníctvom ktorého je bibliografický alebo autoritatívny údaj vyhľadaný a identifikovaný.",,"Doplnkový selekčný údaj [NT], Autorizovaný selekčný údaj [NT], Riadený selekčný údaj [NT], Základný selekčný údaj [NT], Meno [RT], Neriadený selekčný údaj [NT], Variantná forma mena [NT]","GARR modifikované vo FRAD a IME ICC",20090805
21,"Slovene","Vstopna točka","ime, pojem, kodiran podatek itn., s pomočjo katerega iščemo bibliografske ali normativne podatke in jih identificiramo.",,"Dodatna vstopna točka (OP), Ime (SP), Kontrolirana vstopna točka (OP), Nekontrolirana vstopna točka (OP), Normativna vstopna točka (OP), Osnovna vstopna točka (OP), Variantna oblika imena (OP)","definicija GARR, priredba FRAD in IME ICC",20090813
22,"Spanish","Punto de acceso","Un nombre, término, código, etc. por el que se busca e indentifican datos bibliográficos o de autoridad.",,"Forma variante del nombre [TE], Nombre [TR], Punto de acceso adicional [TE], Punto de acceso autorizado [TE], Punto de acceso controlado [TE], Punto de acceso esencial [TE],Punto de acceso no controlado [TE]","GARR modificado por FRANAR e IME ICC",20090805
23,"Swedish","Sökingång","Ett namn, term, kod etc. med hjälp av vilket bibliografisk data och auktoritetsdata kan sökas och identifieras.",,"Auktoriserad sökingång [UT], Grundläggande sökingång [UT], Kontrollerad sökingång [UT], Namn [RT], Okontrollerad sökingång [UT], Variantform av namn [UT] Ytterligare sökingång [UT]","GARR, modifierat av FRAD och IME ICC",20090813
24,"Thai","จุดเข้าถึง","ชื่อ คำศัพท์ รหัส และอื่น ๆ ที่ใช้ในการค้นหาและระบุรายการบรรณานุกรม รายการควบคุม หรือรายการอ้างอิง",,"จุดเข้าถึงอื่น ๆ [NT], จุดเข้าถึงที่กำหนดให้ใช้ได้ [NT], จุดเข้าถึงควบคุม [NT], จุดเข้าถึงที่จำเป็น [NT], ชื่อ [RT], จุดเข้าถึงไม่ควบคุม [NT], รูปแบบชื่ออื่น [NT]","GARR ปรับปรุงตาม FRAD และ IME ICC",20090805
25,"Vietnamese","Điểm truy cập","Tên, thuật ngữ, mã,… được xác định để tìm kiếm trong dữ liệu thư mục và dữ liệu tác giả.",,"Điểm truy cập bổ sung [Thuật ngữ hẹp], Điểm truy cập được cho phép [Thuật ngữ hẹp], Điểm truy cập kiểm soát [Thuật ngữ hẹp], Điểm truy cập cần thiết [Thuật ngữ hẹp], Tên [Thuật ngữ hẹp], Điểm truy cập không kiểm soát [Thuật ngữ hẹp], Dạng biến thể của tên [Thuật ngữ hẹp]","GARR chỉnh sửa hàng FRAD và IME ICC",20090813
,,,,,,,20090805
,"English","Additional access point","An access point that may be used in addition to the essential access points to enhance the retrieval of bibliographic or authority data.",,"Access point [BT], Essential access point [RT]","IME ICC",20090805
,"Albanian","Pikë hyrëse shtesë","Pikë hyrëse që mund të përdoret përveç pikës hyrëse kryesore për të zgjeruar kërkimin e të dhënave bibliografike ose atyre të termave të njësuar.",,"Pikë hyrëse [BT], Pikë hyrëse kryesore [RT]",,20090812
,"Arabic","نقطة الوصول الإضافية","نقطة وصول يمكن أن تستخدم بالإضافة إلى نقاط الوصول الأساسية لزيادة استرجاع التسجيلات الببليوجرافية والاستنادية.",,"نقطة الوصول [BT]، نقطة الوصول الأساسية [RT]",,20090805
,"Bulgarian","Допълнителна точка за достъп","Точка за достъп, която може да се използва като допълнение към основните точки за достъп, за да се увеличи извличането на библиографски и контролни данни.",,"Точка за достъп [ВТ], Основна точка за достъп [А]",,20100809
,"Catalan","Punt d’accés addicional","Punt d’accés que es pot utilitzar a més a més dels punts d’accés essencials per millorar la recuperació de dades bibliogràfiques o d’autoritat.",,"Punt d’accés [TG], Punt d’accés essencial [TR]",,20100809
,"Chinese","附加检索点","可作为基本检索点的补充，用以增强书目数据或规范数据检索的一种检索点。
",,"检索点 [BT]，基本检索点 [RT]","IME ICC",20090805
,"Croatian","Dodatna pristupnica","Pristupnica koja se može upotrebljavati uz neophodne pristupnice u svrhu poboljšanja pronalaženja bibliografskih i autoriziranih podataka.",,"Neophodna pristupnica [SP], Pristupnica [ŠP]",,20090812
,"Czech","Doplňkový selekční údaj","selekční údaj, který lze použít k doplnění základních selekčních údajů pro usnadnění vyhledávání bibliografických či autoritních údajů.",,"Selekční údaj [BT], Základní selekční údaj [RT]",,20090812
,"Finnish","Lisätty hakutieto","Hakutieto, jota voidaan käyttää ensisijaisen hakutiedon lisäksi tehostamassa bibliografisen tai auktoriteettitiedon löytämistä.",,"Hakutieto [LT], Ensisijainen hakutieto [RT]",,20100809
,"French","Point d'accès supplémentaire","Point d'accès qui peut être utilisé en plus des points d'accès essentiels pour faciliter la recherche des données bibliographiques ou d'autorité.",,"Point d'accès [TG], Point d'accès essentiel [TA]",,20090805
,"German","Zusätzlicher Sucheinstieg","Ein Sucheinstieg, der zusätzlich zum notwendigen Sucheinstieg genutzt werden kann, um das Retrieval von bibliografischen Daten und Normdaten zu verbessern.",,"Notwendiger Sucheinstieg [VB], Sucheinstieg [OB]",,20090812
,"Italian","Punto di accesso aggiuntivo","Punto di accesso che può essere usato in aggiunta ai punti di accesso indispensabile per migliorare il recupero dei dati bibliografici o di autorità.",,"Punto di accesso [BT], Punto di accesso indispensabile [RT]",,20090812
,"Japanese","付加的アクセスポイント","書誌データまたは典拠データの検索を向上させるため、中核的アクセスポイントに加えて使用することがあるアクセスポイント",,"アクセスポイント［BT］、中核的アクセスポイント［RT］　",,20090805
,"Korean","부차적 접근점","서지데이터나 전거데이터의 검색을 확장하기 위하여 필수 접근점 이외에 추가로 사용되는 접근점",,"접근점 (Access point) [BT], 필수 접근점 (Essential access point) [RT]도 보라",,20090805
,"Latvian","Papildu piekļuves punkts","piekļuves punkts, ko var izmantot papildus svarīgākajiem piekļuves punktiem, lai paplašinātu bibliogrāfisko vai autoritatīvo datu izguves iespējas.",,"Piekļuves punkts [PT], Svarīgākais piekļuves punkts [ST]",,20090813
,"Lithuanian","Papildomas kreipties elementas","kreipties elementas, kuris gali būti vartojamas papildomai prie esminių kreipties elementų bibliografinių arba autoritetinių
duomenų paieškai palengvinti.",,"Esminis kreipties elementas [SJT], Kreipties elementas [PT]",,20100809
,"Polish","Dodatkowy punkt dostępu","punkt dostępu, który może być
stosowany dodatkowo obok podstawowego punktu dostępu w celu ułatwienia wyszukiwania danych bibliograficznych lub wzorcowych.",,"Punkt dostępu [TS], Podstawowy punkt dostępu [TZ]",,20100809
,"Portuguese","Ponto de acesso adicional","Ponto de acesso que pode ser usado para além dos pontos de acesso essenciais para melhorar a pesquisa de registos bibliográficos ou de autoridade.",,"Ponto de acesso [TG], Ponto de acesso essencial [TR]",,20090812
,"Russian","Дополнительная точка доступа","точка доступа, которая может быть использована в дополнение к обязательным точкам доступа, чтобы облегчить поиск  библиографических или авторитетных данных.",,"Обязательная точка доступа [СТ], Точка доступа [БШТ]",,20090805
,"Slovak","Doplnkový selekčný údaj","selekčný údaj, ktorý je možné použiť na doplnenie základných selekčných údajov na uľahčenie vyhľadávania bibliografických alebo autoritatívnych údajov.",,"Selekčný údaj [BT], Základný selekčný údaj [RT]",,20090805
,"Slovene","Dodatna vstopna točka","vstopna točka, ki jo lahko uporabimo poleg osnovne vstopne točke za učinkovitejše iskanje bibliografskih in normativnih podatkov.",,"Osnovna vstopna točka (SP), Vstopna točka (ŠP)",,20090813
,"Spanish","Punto de acceso adicional","Un punto de acceso que se puede utilizar, además de los puntos de acceso esenciales, para mejorar la recuperación de datos bibliográficos o de autoridad.",,"Punto de Acceso [TG], Punto de acceso esencial [TR]",,20090805
,"Swedish","Ytterligare sökingång","En sökingång som kan användas utöver de grundläggande sökingångarna för att förbättra återvinningen av bibliografisk data och auktoritetsdata.",,"Grundläggande sökingång [RT], Sökingång [ÖT]",,20090813
,"Thai","จุดเข้าถึงอื่น ๆ","จุดเข้าถึงหนึ่งที่สามารถนำมาใช้นอกเหนือจากจุดเข้าถึงที่จำเป็น 
เพื่อเพิ่มความสามารถในการค้นคืนรายการบรรณานุกรมและรายการควบคุม",,"จุดเข้าถึง [BT], จุดเข้าถึงที่จำเป็น [RT]",,20090805
,"Vietnamese","Điểm truy cập bổ sung","Một điểm truy cập có thể dùng bổ sung cho những điểm truy cập cần thiết để tăng số điểm truy cập đến dữ liệu thư mục hay dữ liệu tác giả.",,"Điểm truy cập [Thuật ngữ rộng], Điểm truy cập cần thiết [Thuật ngữ liên quan]",,20090813
,,,,,,,
,"English","Agent","A person (author, publisher, sculptor, editor, director, composer, etc.) or a group (family, organization, corporation, library, orchestra, country, federation, etc.) or an automaton (weather recording device, software translation program, etc.) that has a role in the lifecycle of a resource.",,"Creator [NT]","DCMI Agents Working Group, working definition, modified]",
,"Albanian","Agjent","Person (autor, botues, skulptor, redaktor, drejtues, kompozitor, etj.) ose grup (familje, organizatë, korporatë, bibliotekë, orkestër, krahinë, federatë etj.) ose robot (pajisje për regjistrimin e kushteve të motit, program software për përkthim automatik etj.) që luan rol në ekzistencën e një burimi.",,"Krijues [NT]","DCMI Agents Working Group, përkufizim i punës, i modifikuar",20090811
,"Arabic","العامل",") شخص (مؤلف، ناشر، نحات، محرر، مخرج، ملحن، الخ) أو مجموعة (عائلة، منظمة، شركة، مكتبة، أوركسترا، قطر، اتحاد، الخ) أو تقنية (جهاز تسجيل المناخ، برنامج ترجمة، الخ) له دور في دورة حياة المصدر.",,"الصانع [NT]",,20090805
,"Bulgarian","Агент","Лице (автор, издател, скулптор, редактор, режисьор, композитор и т.н.), група (фамилия, организация, корпорация, библиотека, оркестър, страна,  федерация и т.н.) или автоматично устройство (уред за регистриране на климатични промени, компютърна програма за автоматичен превод и т.н.), които имат определена роля за жизнения цикъл на ресурс. ",,"Създател [НТ]","Източник: модифицирано работно определение на DCMI Agents Working  Group",
,"Catalan","Agent","Persona (autor, editor, escultor, editor literari, director, compositor, etc.) o grup (família, organització, societat, biblioteca, orquestra, país, federació, etc.) o autòmat (dispositiu enregistrador de dades meteorològiques, programari de traducció, etc.) que te un paper en el cicle de vida d’un recurs.",,"Creador [TE]","DCMI Agent Working Group, definició de treball, modificada",20100809
,"Chinese","代理","在资源的生命周期中发挥某种作用的一个人（著者、出版者、雕塑家、编者、导演、作曲家等）、一群人（家族、组织、社团、图书馆、乐队、国家、联合会等）或一个自动装置（气象记录仪、软件翻译程序等）。",,"创作者 [NT]","DCMI Agents Working Group，经修改的工作定义",20090805
,"Croatian","Posrednik","Osoba (autor, nakladnik, kipar, urednik, režiser, kompozitor itd.) ili skupina (obitelj, ustanova, korporacija, knjižnica, orkestar, država, federacija itd.) ili stroj (uređaj za snimanje, program za prevođenje softvera itd.) koji imaju neku ulogu u životnom ciklusu jedinice.",,"Stvaratelj [UP]","DCMI Agents Working Group, prerađena radna definicija",20090812
,"Czech","Agent","osoba (autor, nakladatel, sochař, editor, režisér, skladatel atd.) či skupina (rodina, organizace, korporace, knihovna, orchestr, stát, federace atd.) či automat (zařízení zaznamenávající počasí, překladač atd.), které mají roli v životním cyklu zdroje.",,"Tvůrce [NT]","DCMI Agents Working Group, pracovní definice, modifikovaná",20090812
,"Finnish","Agentti","Henkilö (kirjoittaja, julkaisija, kuvanveistäjä, toimittaja, elokuvan ohjaaja, säveltäjä jne.) tai ryhmä (perhe/suku, organisaatio, yhtiö, kirjasto, orkesteri, maa, liittovaltio jne.) tai robotti (säätä rekisteröivä laite, ohjelmiston käännösohjelma jne.), jolla on oma tehtävä resurssin elinkaaressa.",,"Tekijä [ST]","DCMI Agents Working Group, (työ)määritelmä, muunneltu",20100809
,"French","Agent","Une personne (auteur, éditeur commercial, sculpteur, éditeur scientifique, directeur, compositeur, etc.) ou un groupe (famille, organisme, société, bibliothèque, orchestre, pays, fédération, etc.) ou un automate (dispositif enregistreur de mesures météorologiques, logiciel de traduction, etc.) qui joue un rôle dans le cycle de vie d'une ressource.",,"Créateur [TS]","Groupe de travail du DCMI sur les agents, définition provisoire, modifiée",20090805
,"German","Agent","Eine Person (Autor, Verleger, Bildhauer, Herausgeber, Regisseur. Komponist etc.) oder eine Gruppe (Familie, Organisation, Firma, Bibliothek, Orchester, Land, Vereinigung etc.) oder ein Automat (Wetterstation, Softwareübersetzungsprogramm etc.), die eine Rolle im Lebenszyklus einer Ressource spielt.",,"Geistiger Schöpfer [UB]","DCMI Agents Working Group, Arbeitsdefinition, modifiziert",20090812
,"Italian","Agente","Persona (autore, editore, scultore, curatore, direttore, compositore, ecc.), o gruppo (famiglia, organizzazione, società, biblioteca, orchestra, paese, federazione, ecc.) o robot (stazione per il rilevamento delle condizioni atmosferiche, programma software di traduzione automatica, ecc.) che abbia un ruolo nel ciclo produttivo di una risorsa.",,"Creatore [NT]","DCMI Agents Working Group, definizione di lavoro, modificata",20090812
,"Japanese","行為主体","ある資料のライフサイクルにおいて、何らかの役割を果たす個人（著者、出版者、彫刻家、編者、監督、作曲家等）、集団（家族、組織、会社、図書館、交響楽団、国家、連邦等）または自動的手段（気象記録装置、翻訳ソフトウェア等）。",,"作成者［NT］　","DCMI Agents Working Groupの作業用定義より修正",20090805
,"Korean","책임주체","자원의 생명주기에서 역할을 지닌 개인(저자, 발행자, 조각가, 편자, 감독, 작곡가 등)이나 집단(가족, 조직, 회사, 도서관, 관현악단, 국가, 연맹 등), 자동장치(기상기록장치, 번역프로그램 소프트웨어 등)",,"저작자 (Creator) [NT]도 보라 
","DCMI의 Agents Working Group이 작성 중에 있는 정의를 수정",20090805
,"Latvian","Aģents","persona (autors, izdevējs, tēlnieks, redaktors, režisors, komponists u.tml.) vai grupa (dzimta, organizācija, korporācija, bibliotēka, orķestris, valsts, federācija u.tml.), vai automatizēta sistēma (meteoroloģiskā ieraksta ierīce, konvertēšanas programmatūra u.tml.), kam ir nozīme resursa tapšanas un pastāvēšanas laikā.",,"Autors/radītājs [ŠT]","DCMI Agents Working Group, modificēta darba definīcija",20090813
,"Lithuanian","Veiksnys","asmuo (autorius, leidėjas, skulptorius, redaktorius, režisierius, kompozitorius ir
t. t.) arba grupė (giminė, organizacija, korporacija, biblioteka, orkestras, šalis, federacija ir
t. t.), arba automatas (orus fiksuojantis prietaisas, vertimo programa ir t. t.), kurie turi reikšmę
ištekliaus gyvavimo ciklui.",,"Kūrėjas [ST]","DCMI Agents Working Group, laikinas apibrėžimas; pakeistas",20100809
,"Polish","Agent","osoba (autor, wydawca, rzeźbiarz, redaktor, reżyser, kompozytor itd.) lub grupa (rodzina, organizacja, przedsiębiorstwo, biblioteka, orkiestra, kraj, federacja itd.) lub automat (urządzenie zapisujące warunki pogody, oprogramowanie do tłumaczenia itd.), które biorą udział w cyklu życia dokumentu.",,"Twórca [TW]","DCMI Agents
Working Group, definicja robocza, modyfikowana",20100809
,"Portuguese","Agente","Pessoa (autor, editor, escultor, editor literário, diretor, compositor, etc.) ou um grupo (família, organização, empresa, biblioteca, orquestra, país, federação, etc.) ou um recurso automático (por exemplo, um mecanismo de registo de condições atmosféricas, uma aplicação informática de tradução, etc.) que tem uma função no ciclo de vida de um recurso.",,"Criador [TE]","DCMI Agents Working Group, definição de trabalho, modificada",20090805
,"Russian","Агент","лицо (автор, издатель, скульптор, редактор, режиссер, композитор и др.),  или группа (род, организация, корпорация, библиотека, оркестр, страна, федерация и т.п.), или автомат (устройство, регистрирующее погоду, электронная программа-переводчик и т. п.), которые играют определенную роль в жизненном цикле ресурса.",,"Создатель [БУТ]","DCMI. Рабочая группа по агентам, рабочее определение, видоизмененное",20090805
,"Slovak","Agent","osoba (autor, vydavateľ, sochár, editor, režisér, skladateľ atď.) alebo skupina (rodina, organizácia, korporácia, knižnica, orchester, štát, federácia atď.) alebo automat (zariadenie zaznamenávajúce počasie, prekladač atď.), ktoré majú úlohu v životnom cykle zdroja. 
",,"Tvorca [NT]","DCMI Agents Working Group, pracovná definícia, modifikovaná",20090805
,"Slovene","Dejavnik","oseba (avtor, založnik, kipar, izdajatelj, režiser, skladatelj itn.) ali skupina (rodbina, organizacija, korporacija, knjižnica, orkester, dežela, federacija itn.) ali avtomatska naprava (vremenska hišica, računalniški program za prevajanje itn.), ki  ima v življenju vira neko vlogo.",,"Ustvarjalec (OP)","DCMI Agents Working Group, delovna definicija, prirejena",20090813
,"Spanish","Agente","Una persona (autor, editor, escultor, editor literario, director, compositor, etc.) o un grupo (familia, organización, entidad corporativa, biblioteca, orquesta, país, federación, etc.) o autómata (mecanismo de recogida de datos meteorológicos, programas software de traducción, etc.) que ha desempeñado un papel en el ciclo vital de un recurso.",,"Creador [TE]","DCMI Agents Working Group, definición de trabajo modificado",20090805
,"Swedish","Agent","En person (författare, förläggare, skulptör, utgivare, regissör, kompositör etc.) eller en grupp (familj, organisation, företag, bibliotek, orkester, land, federation etc.) eller en automatisk agent (automatisk väderstation, översättningsprogram etc.) som haft en roll i resursens livscykel.",,"Upphovsman [UT]","DCMI Agents Working Group, modifierat från arbetsdefinitionen",20090813
,"Thai","ตัวแทน","บุคคล (เช่น ผู้แต่ง, ผู้พิมพ์, ผู้ปั้น, บรรณาธิการ, ผู้กำกับ, ผู้ควบคุม เป็นต้น) หรือกลุ่มบุคคล (เช่น ครอบครัว, นิติบุคคล, บริษัท, ห้องสมุด, วงดนตรี, ประเทศ, สหภาพ​เป็นต้น) หรือเครื่องมืออัตโนมัติ (เช่น อุปกรณ์พยากรณ์อากาศ, โปรแกรมแปลซอฟท์แวร์ เป็นต้น) ที่มีบทบาทในวัฏจักรทรัพยากรสารสนเทศ",,"ผู้สร้างสรรค์ผลงาน [NT]","คณะทำงาน DCMI Agents, คำจำกัดความ, ได้รับการปรับปรุง",20090805
,"Vietnamese","Chủ thể","Một người (tác giả, nhà xuất bản, nhà điêu khắc, nhà biên tập, giám đốc, soạn giả,...) hoặc một nhóm (gia đình, tổ chức, tập đoàn, thư viện, ban nhạc, đất nước, liên đoàn,...) hoặc máy móc, thiết bị (thiết bị đo thời tiết, chương trình phần mềm dịch,...) có vai trò trong vòng đời của nguồn lực.",,"Sáng tạo viên [Thuật ngữ hẹp]","DCMI, định nghĩa, chỉnh sửa",20090813
,,,,,,,
,"English","Attribute","Characteristic of an entity.  An attribute can be inherent in an entity or externally imputed.",,,"FRBR",20090805
,"Albanian","Atribut","Karakteristikë e një entiteti. Atributi mund të jetë i brendaqënësishëm në një entitet ose i jashtëm.",,,,20090811
,"Arabic","الحقل","خاصية من الكيان. قد يكون الحقل من صلب الكيان أو منسوب خارجيا.",,,,20090805
,"Bulgarian","Атрибут","Характеристика на обект. Атрибутът може да бъде вътрешно присъщ на обекта или заимстван.",,,,20100809
,"Catalan","Atribut","Característica d’una entitat. Un atribut pot ser inherent a una entitat o pot ser assignat externament.",,,,20100809
,"Chinese","属性","一个实体的特征。属性可以是实体内在的，或由外部输入的。",,,"FRBR",20090805
,"Croatian","Atribut","Svojstvo entiteta. Atribut može biti urođen u entitetu ili mu može biti izvana nametnut.",,,,20090812
,"Czech","Atribut","charakteristika entity. Atribut může být součástí entity či připisovaný entitě zvnějšku.",,,,20090812
,"Finnish","Attribuutti","Entiteetin ominaisuus. Attribuutti voi olla olennainen osa entiteettiä tai se voi olla ulkoinen lisäys.",,,,20100809
,"French","Attribut","Caractéristique d'une entité. Un attribut peut être inhérent à une entité ou lui être affecté.",,,,20090805
,"German","Merkmal","Charakteristikum einer Entität. Ein Merkmal kann einer Entität innewohnen oder ihr zugeschrieben werden.",,,,20090812
,"Italian","Attributo","Caratteristica di un’entità. Un attributo può essere intrinseco all’entità o assegnato esternamente.",,,,20090812
,"Japanese","属性","実体の特性。属性には、実体に固有の属性と外的に付与される属性がある。　　",,,,20090805
,"Korean","속성","개체의 특성. 속성은 어떤 개체에 내재된 고유한 것일 수 있고, 외부에 있는 것을 따른 것일 수 있다.",,,,20090805
,"Latvian","Atribūts","raksturīga entītijas iezīme. Atribūts var būt entītijai sākotnēji piemītošs vai ārēju apstākļu radīts.",,,,20090813
,"Lithuanian","Atributas","entiteto charakteristika. Atributas gali būti neatskiriama entiteto dalis arba priskiriama jam išoriškai.",,,,20100809
,"Polish","Atrybut","cecha jednostki. Atrybut może być właściwy jednostce lub nadany.",,,,20100809
